file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_MV0867_0207_1496309_to_1498956,ཡ། སྤུན་གྲོགས་ཚོ།  ,ya/_spun grogs tsho/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0867_0207_1496309_to_1498956.wav,STT_MV,3,19,2.647,wav16k/STT_MV0867_0207_1496309_to_1498956.wav,ཡ། སྤུན་གྲོགས་ཚོ།
STT_MV0867_0177_1244186_to_1245882,འགོ་འཛིན་ལགས་ལ་སྲུང་སྐྱོབ་གྱིས།  ,'go 'dzin lags la srung skyob gyis/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0867_0177_1244186_to_1245882.wav,STT_MV,3,33,1.696,wav16k/STT_MV0867_0177_1244186_to_1245882.wav,འགོ་འཛིན་ལགས་ལ་སྲུང་སྐྱོབ་གྱིས།
STT_PC0067_0013_154926_to_157326,ཇོ་ཇོ་དང་འོག་མ་གཉིས་ཕར་ཚུར་དྲི་བ་དྲིས་ལན་བྱས་རྒྱོ་ཅིག ,jo jo dang 'og ma gnyis phar tshur dri ba dris lan byas rgyo cig_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0067_0013_154926_to_157326.wav,STT_PC,3,54,2.4,wav16k/STT_PC0067_0013_154926_to_157326.wav,ཇོ་ཇོ་དང་འོག་མ་གཉིས་ཕར་ཚུར་དྲི་བ་དྲིས་ལན་བྱས་རྒྱོ་ཅིག
STT_MV0867_0180_1270378_to_1278731,བྱ་དགའ་དཱ་ཡང་ཉིས་བརྒྱ་ཡོད། མེའི་ཞན་རྫོས་དང་ཝང་ཞའོ་ཧུང་བསད་ཐུབ་ན། བྱ་དགའ་དཱ་ཡང་ལྔ་བརྒྱ་སྤྲད་ཀི་ཡིན། ཚང་མ་གཤོར།  ,bya dga' dA yang nyis brgya yod/_me'i zhan rdzos dang wang zha'o hung bsad thub na/_bya dga' dA yang lnga brgya sprad ki yin/_tshang ma gshor/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0867_0180_1270378_to_1278731.wav,STT_MV,3,111,8.353,wav16k/STT_MV0867_0180_1270378_to_1278731.wav,བྱ་གའ་དཱ་ཡང་ཉན་གི་ཡོད། ་་ཝང་ཤའོ་ཧུས་ཐད་ོ་ད། བྱ་དགའ་དཱ་ཡ་ལྔ་བརྒྱ་རཙད་ལཀི་ཡིན། ཕག་མ་ཤོག
STT_PC0124_0071_582408_to_586952,ཨེ་དེ་འདྲའི་གནད་དོན་གི་རྐྱེན་པས་ཨེ་ནས་ཞི་ཅིན་ཕིང་དེ་རིང་ཕ་གིར་འགྲོ་མ་ཤེས་པའི་ཟོལ་ར་བྱས་པ་རེད་ཟེ། ག་རེ་ཟེར་ ,e de 'dra'i gnad don gi rkyen pas e nas zhi cin phing de ring pha gir 'gro ma shes pa'i zol ra byas pa red ze/_ga re zer _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0124_0071_582408_to_586952.wav,STT_PC,3,107,4.544,wav16k/STT_PC0124_0071_582408_to_586952.wav,འདི་འདྲའི་གནད་དོན་གི་རྐྱེན་པས། ཨེ་ནས་ཞི་ཅིན་ཕིང་གིས་དེ་རིང་ཕ་གིར་འགྲོ་མ་ཤེས་པའི་ཟོལ་ད་བྱས་པ་རེད་ཟེ། ག་རེ་ཟེར་ན།
STT_PC0124_0072_588552_to_591304,ད་གཡས་གཡོན་གྲོང་པ་གང་ག་ལོ་གིས་ཞེ་བོ་ཅིག་ངར་བྱས་བསྡད་ཡོད་པ་སོང་ཙང་།  ,da g.yas g.yon grong pa gang ga lo gis zhe bo cig ngar byas bsdad yod pa song tsang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0124_0072_588552_to_591304.wav,STT_PC,3,68,2.752,wav16k/STT_PC0124_0072_588552_to_591304.wav,ད་གཡས་གཡོན་གྲོང་པོ་གང་ག་ལོ་གིས་ཞེ་བོ་ཅིག་ངར་བྱས་བསྡད་ཡོད་པ་སོང་ཙང་།
STT_MV0867_0193_1405009_to_1414709,དུད་འགྲོ་ལས་སྡུག་པའི་མི་ངན་ཁྱོད་རས། ངའི་པཱ་ལགས་ནད་པ་ཡིན་ནས། ཁྱོད་རས་ཉེས་རྡུང་དེ་འདྲ་བཏང་པ་རེད།  ,dud 'gro las sdug pa'i mi ngan khyod ras/_nga'i pA lags nad pa yin nas/_khyod ras nyes rdung de 'dra btang pa red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0867_0193_1405009_to_1414709.wav,STT_MV,3,96,9.7,wav16k/STT_MV0867_0193_1405009_to_1414709.wav,དུད་འགྲོ་ལས་བསྡུག་པའི་མི་ངན་ཁྱོད་རས་ངའི་པཱ་ལགས་ནད་པ་ཡིན་ནས་ཁྱོད་རས་ཉེས་རྡུང་འདེ་འདྲས་བཏང་པ་རེད།
STT_MV0867_0198_1443610_to_1450564,བྱི་ནད་འགོག་བཅོས་མ་བྱས་པར། ནད་པ་ཚང་མ་ཧྭ་གཡིང་གྲོང་རྡལ་ལ་བཅུག་ཤག ངས་བརྩིས་བརྒྱབ་པ་ཡིན།  ,byi nad 'gog bcos ma byas par/_nad pa tshang ma hwa g.ying grong rdal la bcug shag_ngas brtsis brgyab pa yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0867_0198_1443610_to_1450564.wav,STT_MV,3,87,6.954,wav16k/STT_MV0867_0198_1443610_to_1450564.wav,བྱིན་ནད་འགོག་བཅོད་མ་བྱས་པར་ ནད་པ་ཚང་མ་ཧའ་གཡིང་གྲོང་བརྡལ་ལ་བཅུག་ཤག ངས་རྩིས་བརྒྱབ་པ་ཡིན།
STT_MV0867_0209_1508943_to_1515061,ད་ག་སྡོད། ཨ་ཧ། ཨ་ཧ།  ,da ga sdod/_a ha/_a ha/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0867_0209_1508943_to_1515061.wav,STT_MV,3,21,6.118,wav16k/STT_MV0867_0209_1508943_to_1515061.wav,ད་ག་སྡོད།
STT_MV0867_0210_1515061_to_1522908,ཟ་འདྲེ། ཁྱོད་ཚོ་ག་རེ་བྱེད་མྱི་ཡིན་པ།  ,za 'dre/_khyod tsho ga re byed myi yin pa/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0867_0210_1515061_to_1522908.wav,STT_MV,3,38,7.847,wav16k/STT_MV0867_0210_1515061_to_1522908.wav,ཟང་འདྲེ། ཁྱེད་ཚོ་ག་རེ་བྱེད་མྱི་ཡིན་པ།
